numero_comprobante,fecha,tipo_comprobante,cuit_cliente,razon_social,importe_neto,alicuota_iva
5097,2024-11-09,B,20-22999000-1,Kiosco Güemes,,0.21
5001,2024-11-11,M,20-60444555-6,Comercio Andino SA,110969.26,0.21
5002,2024-11-11,A,20-33000111-2,Ferretería Andina,156982.3,0.0
5022,2024-11-11,B,20-22999000-1,Kiosco Güemes,130234.02,0.21
5011,2024-11-12,A,20-60444555-6,Comercio Andino SA,102034.17,0.21
5114,2024-11-16,A,20-80666777-8,Tienda Puna SA,64803.43,0.105
5074,2024-11-17,A,20-60444555-6,Comercio Andino SA,31796.73,0.21
5056,2024-11-17,M,20-50333444-5,Distribuidora Sur SRL,144707.54,0.21
5136,2024-11-18,M,20-30111222-3,Supermercado Centro SRL,47326.56,0.21
5157,2024-11-19,B,20-90777888-9,Autoservicio Humahuaca,96008.52,0.21
5162,2024-11-19,A,20-80666777-8,Tienda Puna SA,82245.44,0.21
5137,2024-11-21,A,20-11888999-0,Minimarket Quebrada SRL,27531.91,0.21
5118,2024-11-21,B,20301112223,Kiosco Güemes,157399.05,0.21
5035,2024-11-21,A,20-70555666-7,Mercado del Valle SRL,112845.07,0.0
5055,2024-11-23,A,20-80666777-8,Tienda Puna SA,175357.82,0.105
5094,2024-11-23,B,20-22999000-1,Kiosco Güemes,93318.44,0.21
5061,2024-11-24,A,20-70555666-7,Mercado del Valle SRL,91468.14,0.105
5077,2024-11-25,B,20-90777888-9,Autoservicio Humahuaca,81670.09,0.21
5148,2024-11-26,A,20-11888999-0,Minimarket Quebrada SRL,78805.73,0.21
5171,2024-11-26,A,20-60444555-6,Comercio Andino SA,49694.47,0.21
5130,2024-11-26,A,20-30111222-3,Supermercado Centro SRL,72799.1,0.21
5159,2024-11-27,A,20-70555666-7,Mercado del Valle SRL,152602.12,0.21
5049,2024-11-28,A,20-30111222-3,Supermercado Centro SRL,35800.14,0.0
5030,2024-11-29,A,20-60444555-6,Comercio Andino SA,36320.81,0.105
5039,2024-12-01,A,20-30111222-3,Supermercado Centro SRL,116756.6,0.21
5147,2024-12-04,A,20-50333444-5,Distribuidora Sur SRL,108579.77,0.21
5115,2024-12-04,A,20-50333444-5,Distribuidora Sur SRL,106293.36,0.21
5037,2024-12-04,A,20-40222333-4,Almacén El Norte SA,103097.61,0.21
5043,2024-12-06,B,20-90777888-9,Autoservicio Humahuaca,169117.56,0.21
5089,2024-12-06,A,20-60444555-6,Comercio Andino SA,118645.57,0.21
5054,2024-12-06,A,20-11888999-0,Minimarket Quebrada SRL,105749.08,0.21
5052,2024-12-06,A,20-40222333-4,Almacén El Norte SA,179046.68,0.21
5104,2024-12-06,A,20-60444555-6,Comercio Andino SA,85132.63,0.21
5044,2024-12-07,B,20-22999000-1,Kiosco Güemes,27517.45,0.21
5133,2024-12-07,A,20-70555666-7,Mercado del Valle SRL,147818.97,0.21
5029,2024-12-07,B,20-22999000-1,Kiosco Güemes,119402.7,0.21
5156,2024-12-08,A,20-33000111-2,Ferretería Andina,130696.13,0.105
5175,2024-12-08,A,20-60444555-6,Comercio Andino SA,138759.19,0.21
5036,2024-12-08,A,20-80666777-8,Tienda Puna SA,117108.43,0.105
5108,2024-12-11,M,20-50333444-5,Distribuidora Sur SRL,28135.53,0.21
5170,2024-12-14,A,20-33000111-2,Ferretería Andina,40171.52,0.21
5016,2024-12-14,A,20-11888999-0,Minimarket Quebrada SRL,130350.82,0.105
5112,2024-12-14,M,20-30111222-3,Supermercado Centro SRL,164123.32,0.105
5040,2024-12-17,A,20-30111222-3,Supermercado Centro SRL,127679.8,0.21
5173,2024-12-17,A,20-60444555-6,Comercio Andino SA,71507.64,0.21
5078,2024-12-18,A,20-70555666-7,Mercado del Valle SRL,84084.58,0.21
5102,2024-12-19,A,20-50333444-5,Distribuidora Sur SRL,163725.7,0.0
5176,2024-12-21,A,20-11888999-0,Minimarket Quebrada SRL,26352.27,0.21
5084,2024-12-22,A,20-33000111-2,Ferretería Andina,67564.34,0.21
5075,2024-12-22,A,20-40222333-4,Almacén El Norte SA,144772.03,0.105
5110,2024-12-23,A,20-80666777-8,Tienda Puna SA,20515.24,0.21
5042,2024-12-25,A,20-60444555-6,Comercio Andino SA,126841.29,0.105
5116,2024-12-26,A,20-11888999-0,Minimarket Quebrada SRL,136319.72,0.21
5045,2024-12-29,A,20-33000111-2,Ferretería Andina,148562.22,0.21
5099,2024-12-30,B,20-90777888-9,Autoservicio Humahuaca,168090.26,0.21
5138,2025-01-01,A,20-33000111-2,Ferretería Andina,97468.12,0.21
5126,2025-01-02,A,20-80666777-8,Tienda Puna SA,78727.56,0.105
5031,2025-01-02,B,20-22999000-1,Kiosco Güemes,91390.76,0.21
5124,2025-01-03,A,20-70555666-7,Mercado del Valle SRL,87756.13,0.105
5127,2025-01-04,A,20-50333444-5,Distribuidora Sur SRL,132823.76,0.21
5004,2025-01-05,A,20-80666777-8,Tienda Puna SA,114206.82,0.21
5090,2025-01-08,A,20-50333444-5,Distribuidora Sur SRL,149113.42,0.21
5053,2025-01-08,A,20-60444555-6,Comercio Andino SA,136396.52,0.105
5017,2025-01-10,A,20-30111222-3,Supermercado Centro SRL,119985.25,0.21
5121,2025-01-11,A,20-50333444-5,Distribuidora Sur SRL,36589.05,0.0
5135,2025-01-12,A,20-33000111-2,Ferretería Andina,85493.59,0.105
5050,2025-01-13,A,20-11888999-0,Minimarket Quebrada SRL,25453.11,0.0
5119,2025-01-13,M,20-70555666-7,Mercado del Valle SRL,174819.16,0.0
5008,2025-01-14,M,20-40222333-4,Almacén El Norte SA,147044.34,0.21
5091,2025-01-15,A,20-33000111-2,Ferretería Andina,44909.33,0.105
5006,2025-01-17,A,20-50333444-5,Distribuidora Sur SRL,88283.22,0.21
5066,2025-01-17,B,20-90777888-9,Autoservicio Humahuaca,80202.31,0.21
5025,2025-01-18,M,20-60444555-6,Comercio Andino SA,127503.01,0.21
5059,2025-01-19,M,20-70555666-7,Mercado del Valle SRL,171928.36,0.21
5010,2025-01-19,A,20-11888999-0,Minimarket Quebrada SRL,52510.16,0.21
5064,2025-01-22,A,20-80666777-8,Tienda Puna SA,58789.98,0.105
5098,2025-01-24,A,20-50333444-5,Distribuidora Sur SRL,141543.03,0.21
5111,2025-01-25,A,20-33000111-2,Ferretería Andina,48115.23,0.21
5169,2025-01-26,B,20-22999000-1,Kiosco Güemes,131574.65,0.21
5082,2025-01-26,A,20-70555666-7,Mercado del Valle SRL,23789.44,0.105
5155,2025-01-27,A,20-11888999-0,Minimarket Quebrada SRL,71453.15,0.21
5164,2025-01-31,A,20-80666777-8,Tienda Puna SA,25506.59,0.105
5018,2024-08-28,B,20-90777888-9,Autoservicio Humahuaca,154206.64,0.21
5101,2024-08-30,A,20-30111222-3,Supermercado Centro SRL,75014.31,0.21
